iter	Passed	Remaining
169	10827	107189
170	10878	107005
171	10933	106852
172	10985	106680
173	11046	106594
174	11099	106432
175	11152	106262
176	11204	106092
177	11260	105959
178	11311	105784
179	11365	105637
180	11418	105481
181	11475	105362
182	11529	105213
183	11581	105049
184	11635	104911
185	11693	104797
186	11746	104647
187	11805	104554
188	11853	104357
189	11909	104236
190	11956	104041
191	12011	103908
192	12065	103778
193	12120	103650
194	12170	103482
195	12228	103380
196	12280	103232
197	12336	103116
198	12391	102995
199	12446	102868
200	12498	102722
201	12554	102613
202	12609	102494
203	12667	102393
204	12718	102245
205	12776	102152
206	12829	102018
207	12884	101901
208	12939	101778
209	12993	101659
210	13045	101517
211	13099	101396
212	13156	101297
213	13211	101188
214	13265	101067
215	13325	100987
216	13379	100869
217	13437	100783
218	13495	100692
219	13548	100567
220	13606	100475
221	13659	100352
222	13716	100261
223	13763	100095
224	13817	99975
225	13872	99872
226	13930	99780
227	13989	99707
228	14050	99644
229	14113	99591
230	14166	99474
231	14220	99361
232	14279	99283
233	14352	99305
234	14437	99406
235	14518	99478
236	14602	99567
237	14704	99780
238	14872	100432
239	14928	100330
240	14979	100197
241	15033	100080
242	15111	100119
243	15205	100267
244	15299	100412
245	15386	100513
246	15443	100412
247	15498	100302
248	15554	100197
249	15611	100099
250	15664	99977
251	15720	99878
252	15863	100323
253	15931	100290
254	15982	100155
255	16036	100039
256	16089	99920
257	16143	99801
258	16199	99700
259	16257	99608
260	16309	99480
261	16366	99386
262	16421	99278
263	16478	99183
264	16533	99077
265	16595	99012
266	16653	98922
267	16712	98841
268	16768	98740
269	16824	98643
270	16881	98545
271	16934	98429
272	16988	98321
273	17040	98202
274	17097	98105
275	17152	98004
276	17212	97928
277	17265	97817
278	17319	97708
279	17372	97597
280	17441	97572
281	17494	97459
282	17549	97361
283	17604	97256
284	17662	97176
285	17716	97067
286	17771	96969
287	17824	96856
288	17879	96759
289	17929	96635
290	17985	96539
291	18037	96426
292	18091	96324
293	18151	96251
294	18203	96140
295	18256	96034
296	18308	95918
297	18360	95805
298	18414	95704
299	18467	95599
300	18527	95529
301	18579	95418
302	18636	95332
303	18692	95246
304	18756	95199
305	18809	95094
306	18865	95002
307	18917	94895
308	18971	94794
309	19028	94711
310	19080	94603
311	19132	94496
312	19186	94401
313	19240	94303
314	19293	94203
315	19347	94105
316	19401	94006
317	19455	93910
318	19510	93819
319	19562	93718
320	19615	93617
321	19671	93529
322	19723	93429
323	19779	93340
324	19827	93221
325	19880	93123
326	19936	93035
327	19981	92901
328	20038	92822
329	20094	92738
330	20148	92644
331	20206	92572
332	20257	92465
333	20310	92371
334	20362	92269
335	20418	92189
336	20473	92101
337	20530	92022
338	20595	91980
339	20654	91910
340	20718	91864
341	20772	91774
342	20835	91724
343	20896	91663
344	20961	91621
345	21025	91575
346	21084	91508
347	21142	91434
348	21198	91354
349	21254	91274
350	21324	91250
351	21393	91224
352	21454	91166
353	21511	91091
354	21574	91037
355	21633	90969
356	21690	90895
357	21742	90794
358	21797	90711
359	21852	90629
360	21905	90534
361	21961	90454
362	22017	90376
363	22072	90289
364	22130	90220
365	22185	90134
366	22238	90042
367	22291	89953
368	22348	89876
369	22401	89788
370	22457	89707
371	22513	89631
372	22567	89544
373	22622	89462
374	22682	89399
375	22736	89313
376	22792	89236
377	22848	89156
378	22901	89069
379	22959	88997
380	23014	88916
381	23070	88839
382	23125	88759
383	23182	88685
384	23234	88593
385	23289	88513
386	23347	88443
387	23404	88369
388	23462	88301
389	23524	88248
390	23587	88195
391	23662	88191
392	23723	88134
393	23779	88058
394	23864	88087
395	23927	88034
396	23990	87984
397	24051	87925
398	24113	87873
399	24170	87799
